#time,id,mass,px,py,pz,vx,vy,vz
7.8953887875506496e+01,2,9.5435340000000004e-04,-1.5807907775909649e+02,4.7044495693721132e+01,-4.3151116629788156e+01,1.0332621759729302e-01,-1.2613536742798109e-01,-4.1667694184434201e-01
7.8953887875506496e+01,3,2.8630601999999998e-04,-1.6285710605799918e+02,6.6264859437041679e+01,-3.4427100415947677e+01,-1.6281195536440245e-02,4.7238602503269084e-02,-1.7529779637092810e-01

8.3598792679876354e+01,0,1.0000000000000000e+00,-1.5428979172248472e+02,5.0530082721322344e+01,-4.3750050901522798e+01,7.7234255279342273e-02,-1.9090585213492363e-02,1.6946408606180074e-02
8.3598792679876354e+01,1,1.0000000000000000e+00,1.5448656709033321e+02,-5.0593753099960608e+01,4.3803172876732432e+01,-7.7445715879604637e-02,1.9068243414357332e-02,-1.6508946900334220e-02
8.3598792679876354e+01,2,9.5435340000000004e-04,-1.5731068626593162e+02,4.6776811760650432e+01,-4.5086719077193166e+01,2.2498405994099863e-01,1.1990172153884059e-02,-4.0424176041314624e-01
8.3598792679876354e+01,3,2.8630601999999998e-04,-1.6292140680177451e+02,6.6463042912339290e+01,-3.5253577844630065e+01,-1.1364421495660908e-02,3.8067441170886479e-02,-1.8047894128645273e-01

8.8089024548339893e+01,0,1.0000000000000000e+00,-1.5394312587528270e+02,5.0444059066498383e+01,-4.3674081082795979e+01,7.7179722840489129e-02,-1.9222834675038582e-02,1.6881454954124714e-02
8.8089024548339893e+01,1,1.0000000000000000e+00,1.5413873596111611e+02,-5.0508105436319639e+01,4.3729020648706282e+01,-7.7482224310511660e-02,1.9080203098220228e-02,-1.6519301441751955e-02
8.8089024548339893e+01,2,9.5435340000000004e-04,-1.5607769033699370e+02,4.7125562161679611e+01,-4.6745037238054593e+01,3.1888531526506170e-01,1.4073702256274204e-01,-3.2398038212692559e-01
8.8089024548339893e+01,3,2.8630601999999998e-04,-1.6296133555323487e+02,6.6613790884905484e+01,-3.6074270073125945e+01,-6.3841298573037259e-03,2.9055347244966112e-02,-1.8498295340245730e-01

9.3045021334940358e+01,0,1.0000000000000000e+00,-1.5356068714756793e+02,5.0348483520339286e+01,-4.3590720598631719e+01,7.7162664142652271e-02,-1.9339942294564087e-02,1.6750313043652348e-02
9.3045021334940358e+01,1,1.0000000000000000e+00,1.5375463408572449e+02,-5.0413511164125275e+01,4.3647122605368750e+01,-7.7522700198878136e-02,1.9093470289112818e-02,-1.6530788008529140e-02
